"Section","Catchline","Definiendum","Definition","Scope"
"7 U.S. Code § 3402","Definitions","wheat"," The term “wheat” means all classes of wheat grains grown in the United States.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","processed wheat"," The term “processed wheat” means the wheat-derived content of any substance (such as cake mix or flour) produced for use as an ingredient of an end product by changing wheat grown within the United States in form or character by any mechanical, chemical, or other means.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","end product"," The term “end product” means any product which contains processed wheat as an ingredient and which is intended, as produced, for consumption as human food, notwithstanding any additional incidental preparation which may be necessary by the ultimate consumer.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","wheat producer"," The term “wheat producer” means any person who grows wheat within the United States for market.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","processor"," The term “processor” means any person who commercially produces processed wheat within the United States.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","end product manufacturer"," The term “end product manufacturer” means any person who commercially produces an end product within the United States, but such term shall not include such persons to the extent that they produce end products on the premises where such end products are to be consumed by an ultimate consumer, including, but not limited to, hotels, restaurants, and institutions, nor shall such term include persons who produce end products for their own personal, family, or household use.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","research"," The term “research” means any type of research to advance the nutritional quality, marketability, production, or other qualities of wheat, processed wheat, or end products.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","nutrition education"," The term “nutrition education” means any action to disseminate to the public information resulting from research concerning the economic value or nutritional benefits of wheat, processed wheat, and end products.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","Council"," The term “Council” means the Wheat Industry Council established pursuant to section 3405 of this title.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","Department"," The term “Department” means the United States Department of Agriculture.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","Secretary"," The term “Secretary” means the Secretary of Agriculture of the United States.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","person"," The term “person” means any individual, partnership, corporation, association, or other entity.","For the purposes of this chapter:"
"7 U.S. Code § 3402","Definitions","United States"," The term “United States” means the several States and the District of Columbia, including any territory or possession.","For the purposes of this chapter:"
